ID,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
55,2,skilled,2,yes,yes,Risk
56,1,skilled,1,none,yes,No Risk
57,2,skilled,2,yes,yes,Risk
58,1,skilled,1,none,yes,No Risk
59,1,management_self-employed,1,none,yes,No Risk
60,2,skilled,1,none,yes,Risk
61,1,skilled,2,none,yes,Risk
62,2,skilled,1,yes,yes,Risk
63,1,skilled,1,none,yes,No Risk
64,1,skilled,1,none,yes,Risk
65,1,skilled,1,none,yes,No Risk
66,1,skilled,1,none,yes,No Risk
67,2,skilled,1,yes,yes,Risk
68,2,management_self-employed,1,none,yes,Risk
69,2,unemployed,2,yes,yes,Risk
70,1,skilled,1,none,yes,No Risk
71,2,unskilled,1,none,yes,No Risk
72,1,skilled,1,none,yes,No Risk
73,1,unskilled,1,yes,yes,No Risk
74,1,skilled,1,none,yes,No Risk
75,1,management_self-employed,1,yes,yes,No Risk
76,2,skilled,1,none,yes,Risk
77,1,skilled,2,yes,yes,Risk
78,2,unskilled,2,yes,yes,No Risk
79,2,skilled,1,yes,yes,Risk
80,1,skilled,1,none,yes,No Risk
81,1,management_self-employed,1,none,yes,No Risk
82,1,skilled,1,none,yes,No Risk
83,1,skilled,1,none,yes,No Risk
84,2,skilled,1,yes,yes,No Risk
85,1,unemployed,1,yes,yes,No Risk
86,2,skilled,1,yes,yes,No Risk
87,1,skilled,1,none,yes,No Risk
88,2,management_self-employed,1,none,yes,No Risk
89,2,unemployed,2,yes,yes,Risk
90,2,management_self-employed,2,yes,yes,No Risk
91,1,skilled,1,none,yes,No Risk
92,1,unemployed,1,yes,yes,No Risk
93,1,skilled,1,yes,yes,Risk
94,2,skilled,1,yes,yes,Risk
95,1,skilled,1,none,yes,No Risk
96,1,unemployed,2,none,yes,No Risk
97,1,skilled,1,none,yes,Risk
98,2,skilled,1,none,yes,No Risk
99,1,management_self-employed,2,yes,yes,No Risk
100,2,management_self-employed,1,none,yes,No Risk
101,1,skilled,1,none,yes,Risk
102,1,skilled,1,none,yes,Risk
103,1,skilled,1,none,yes,No Risk
104,1,unemployed,1,none,yes,No Risk
105,1,skilled,1,none,yes,No Risk
106,1,skilled,2,none,yes,Risk
107,1,skilled,1,none,yes,No Risk
108,2,skilled,2,yes,yes,Risk
109,2,skilled,1,yes,yes,No Risk
110,1,management_self-employed,1,none,yes,No Risk
111,1,skilled,1,none,yes,No Risk
112,2,unskilled,1,yes,yes,No Risk
113,2,skilled,1,none,yes,No Risk
114,2,skilled,1,none,yes,No Risk
115,1,skilled,1,none,yes,No Risk
116,2,skilled,1,yes,yes,Risk
117,1,skilled,1,none,yes,No Risk
118,1,skilled,1,none,yes,No Risk
119,1,skilled,1,none,yes,No Risk
120,1,skilled,1,none,yes,No Risk
121,1,skilled,1,none,yes,No Risk
122,2,skilled,1,yes,yes,No Risk
123,1,skilled,1,none,yes,No Risk
124,2,management_self-employed,2,yes,yes,Risk
125,1,skilled,1,none,yes,No Risk
126,1,skilled,1,none,yes,No Risk
127,3,skilled,2,yes,yes,Risk
128,2,skilled,1,none,yes,No Risk
129,2,management_self-employed,1,none,yes,No Risk
130,2,skilled,1,none,yes,No Risk
131,1,unskilled,1,none,yes,No Risk
132,3,skilled,1,yes,yes,Risk
133,1,skilled,1,none,yes,No Risk
134,1,skilled,1,yes,yes,Risk
135,1,skilled,1,none,yes,No Risk
136,2,unskilled,2,yes,yes,Risk
137,1,skilled,1,yes,yes,No Risk
138,1,skilled,1,yes,yes,No Risk
139,1,unemployed,2,yes,yes,No Risk
140,1,management_self-employed,1,none,yes,No Risk
141,1,unskilled,1,none,yes,No Risk
142,2,skilled,2,yes,yes,No Risk
143,2,skilled,1,none,yes,No Risk
144,1,unskilled,1,none,yes,No Risk
145,1,management_self-employed,1,yes,yes,Risk
146,2,unskilled,2,yes,yes,No Risk
147,1,skilled,1,none,yes,No Risk
148,1,unskilled,1,yes,yes,No Risk
149,2,skilled,1,yes,yes,No Risk
150,2,skilled,1,yes,yes,No Risk
151,1,skilled,1,none,yes,No Risk
152,1,skilled,1,none,yes,No Risk
153,1,management_self-employed,1,yes,yes,No Risk
154,1,skilled,1,none,yes,No Risk
155,1,skilled,1,none,yes,No Risk
156,2,unskilled,1,yes,yes,Risk
157,1,skilled,1,none,yes,No Risk
158,2,skilled,1,yes,yes,Risk
159,1,skilled,1,none,yes,No Risk
160,2,skilled,1,yes,yes,Risk
161,1,skilled,1,none,yes,No Risk
162,3,unemployed,2,yes,yes,Risk
163,2,skilled,1,yes,yes,No Risk
164,1,skilled,1,none,yes,No Risk
165,1,skilled,1,none,yes,No Risk
166,2,skilled,2,yes,yes,Risk
167,1,skilled,1,yes,yes,Risk
168,2,skilled,1,yes,yes,No Risk
169,1,skilled,1,none,yes,No Risk
170,1,skilled,2,none,yes,No Risk
171,1,skilled,1,none,yes,No Risk
172,2,skilled,2,yes,yes,Risk
173,1,skilled,1,none,yes,No Risk
174,3,management_self-employed,2,yes,yes,Risk
175,2,skilled,1,none,yes,No Risk
176,2,skilled,1,none,yes,No Risk
177,1,skilled,1,none,yes,No Risk
178,2,skilled,1,none,yes,No Risk
179,1,skilled,1,none,yes,Risk
180,2,management_self-employed,1,none,yes,No Risk
181,1,unskilled,1,none,yes,No Risk
182,2,unskilled,1,none,yes,No Risk
183,1,skilled,1,none,yes,No Risk
184,2,management_self-employed,1,none,yes,Risk
185,2,management_self-employed,1,none,yes,No Risk
186,2,skilled,1,none,yes,No Risk
187,2,unskilled,1,none,yes,No Risk
188,1,management_self-employed,1,none,yes,No Risk
189,1,skilled,1,yes,yes,No Risk
190,2,skilled,2,yes,yes,Risk
191,1,management_self-employed,1,none,yes,Risk
192,1,skilled,1,none,yes,No Risk
193,2,skilled,1,yes,yes,No Risk
194,2,skilled,1,yes,yes,No Risk
195,1,unskilled,1,yes,yes,No Risk
196,1,skilled,1,none,yes,No Risk
197,1,skilled,1,none,yes,No Risk
198,2,skilled,1,none,yes,Risk
199,2,unskilled,1,none,yes,No Risk
200,2,skilled,1,yes,yes,Risk
201,1,skilled,1,none,yes,No Risk
202,2,skilled,1,none,yes,No Risk
203,1,skilled,1,none,yes,No Risk
204,2,management_self-employed,1,none,yes,Risk
205,1,unskilled,1,none,yes,No Risk
206,2,skilled,1,yes,yes,No Risk
207,1,skilled,1,none,yes,No Risk
208,1,skilled,1,none,yes,No Risk
209,1,skilled,1,yes,yes,No Risk
210,1,skilled,1,none,yes,No Risk
211,1,skilled,1,yes,yes,No Risk
212,1,skilled,1,none,yes,No Risk
213,1,skilled,1,yes,yes,No Risk
214,2,skilled,1,none,yes,Risk
215,1,skilled,1,none,yes,No Risk
216,2,skilled,1,none,yes,Risk
217,1,skilled,1,yes,yes,No Risk
218,1,skilled,1,none,yes,No Risk
219,1,management_self-employed,1,none,yes,No Risk
220,2,skilled,1,yes,yes,Risk
221,3,skilled,1,yes,yes,Risk
222,2,skilled,2,yes,no,Risk
223,2,unskilled,1,yes,yes,No Risk
224,2,management_self-employed,1,yes,yes,Risk
225,1,unemployed,1,none,yes,No Risk
226,1,skilled,1,none,yes,Risk
227,1,unemployed,1,none,yes,No Risk
228,2,management_self-employed,1,none,yes,Risk
229,1,skilled,1,none,yes,Risk
230,1,unskilled,1,none,yes,No Risk
231,1,unskilled,1,none,yes,Risk
232,1,skilled,1,none,yes,No Risk
233,1,skilled,1,none,yes,No Risk
234,3,skilled,2,yes,yes,Risk
235,1,skilled,1,none,yes,No Risk
236,1,skilled,1,yes,yes,Risk
237,1,skilled,1,none,yes,No Risk
238,1,skilled,1,none,yes,No Risk
239,1,unemployed,1,yes,yes,No Risk
240,2,skilled,2,none,yes,No Risk
241,1,skilled,1,yes,yes,Risk
242,3,skilled,2,yes,yes,Risk
243,2,skilled,1,yes,yes,Risk
244,2,skilled,1,yes,yes,No Risk
245,1,unemployed,1,none,yes,No Risk
246,2,skilled,1,none,yes,Risk
247,1,skilled,1,none,yes,No Risk
248,1,unskilled,1,none,yes,No Risk
249,2,skilled,1,none,yes,Risk
250,3,skilled,2,yes,yes,Risk
251,1,skilled,2,none,yes,No Risk
252,1,skilled,1,none,yes,No Risk
253,1,management_self-employed,1,none,yes,No Risk
254,2,skilled,1,yes,no,Risk
255,1,unemployed,1,none,yes,No Risk
256,1,skilled,1,none,yes,No Risk
257,1,skilled,1,none,yes,No Risk
258,2,skilled,1,yes,yes,No Risk
259,1,skilled,1,none,yes,No Risk
260,2,unskilled,1,yes,yes,No Risk
261,1,management_self-employed,1,yes,yes,Risk
262,2,skilled,1,yes,yes,Risk
263,1,unskilled,1,yes,yes,No Risk
264,1,skilled,2,yes,yes,No Risk
265,2,management_self-employed,1,yes,yes,Risk
266,2,skilled,1,yes,yes,Risk
267,1,skilled,1,none,yes,No Risk
268,2,unskilled,1,none,yes,No Risk
269,1,skilled,1,none,yes,No Risk
270,2,skilled,1,none,yes,Risk
271,2,unskilled,1,none,yes,Risk
272,1,skilled,2,yes,yes,Risk
273,1,unskilled,1,none,yes,No Risk
274,1,skilled,1,none,yes,Risk
275,1,skilled,1,none,yes,No Risk
276,2,skilled,1,yes,yes,Risk
277,2,skilled,1,none,yes,Risk
278,1,skilled,1,none,yes,No Risk
279,1,skilled,1,yes,yes,No Risk
280,2,skilled,1,none,yes,No Risk
281,1,management_self-employed,1,none,yes,No Risk
282,1,skilled,2,yes,yes,No Risk
283,2,skilled,1,none,yes,No Risk
284,2,skilled,2,yes,yes,Risk
285,2,skilled,2,yes,yes,Risk
286,2,skilled,1,none,yes,No Risk
287,1,skilled,1,none,yes,No Risk
288,1,skilled,1,none,yes,No Risk
289,1,unskilled,1,none,yes,No Risk
290,2,management_self-employed,1,yes,no,No Risk
291,1,skilled,1,none,yes,Risk
292,2,management_self-employed,2,yes,yes,No Risk
293,1,skilled,1,yes,yes,No Risk
294,2,unskilled,2,yes,yes,Risk
295,2,skilled,1,none,yes,No Risk
296,1,skilled,1,yes,yes,Risk
297,1,skilled,1,none,yes,No Risk
298,2,skilled,1,none,yes,No Risk
299,1,skilled,1,none,yes,No Risk
300,1,skilled,1,none,yes,No Risk
301,1,skilled,1,none,yes,No Risk
302,2,skilled,1,none,yes,Risk
303,2,skilled,2,yes,yes,Risk
304,1,management_self-employed,1,yes,yes,No Risk
305,3,skilled,1,none,yes,No Risk
306,2,skilled,1,none,yes,Risk
307,2,skilled,1,none,yes,No Risk
308,3,skilled,2,yes,yes,Risk
309,1,skilled,1,none,yes,No Risk
310,3,unskilled,2,yes,yes,Risk
311,1,unskilled,1,none,yes,Risk
312,2,skilled,1,yes,yes,No Risk
313,2,management_self-employed,1,none,yes,No Risk
314,2,skilled,1,none,yes,No Risk
315,2,unemployed,1,yes,yes,No Risk
316,1,skilled,1,none,yes,No Risk
317,1,skilled,1,none,yes,No Risk
318,1,skilled,2,none,yes,No Risk
319,1,skilled,2,none,yes,No Risk
320,2,skilled,1,yes,yes,Risk
321,1,skilled,1,none,yes,No Risk
322,2,skilled,2,yes,yes,Risk
323,1,skilled,1,none,yes,No Risk
324,1,skilled,1,none,yes,No Risk
325,1,skilled,1,none,yes,No Risk
326,2,management_self-employed,1,yes,yes,No Risk
327,1,skilled,1,yes,yes,Risk
328,2,skilled,1,yes,yes,Risk
329,1,unskilled,1,none,yes,No Risk
330,1,management_self-employed,1,none,yes,No Risk
331,1,skilled,1,none,yes,No Risk
332,2,management_self-employed,2,yes,yes,Risk
333,2,skilled,1,yes,yes,Risk
334,1,skilled,1,yes,yes,Risk
335,1,unskilled,1,none,yes,No Risk
336,1,management_self-employed,2,yes,yes,No Risk
337,1,skilled,1,none,yes,No Risk
338,2,unemployed,2,none,yes,No Risk
339,1,skilled,1,none,yes,No Risk
340,1,unskilled,1,none,yes,No Risk
341,1,unskilled,1,yes,yes,No Risk
342,1,skilled,1,none,yes,Risk
343,1,skilled,1,none,yes,No Risk
344,2,unskilled,2,yes,yes,No Risk
345,2,management_self-employed,1,none,yes,No Risk
346,2,skilled,1,none,yes,No Risk
347,1,skilled,1,none,yes,No Risk
348,2,skilled,1,none,yes,No Risk
349,2,unskilled,2,yes,yes,Risk
350,2,unskilled,1,none,yes,No Risk
351,1,skilled,1,none,yes,No Risk
352,2,management_self-employed,1,none,yes,No Risk
353,1,skilled,1,yes,yes,No Risk
354,2,skilled,1,yes,yes,Risk
355,1,skilled,1,none,yes,No Risk
356,3,skilled,2,yes,yes,No Risk
357,1,skilled,1,yes,yes,No Risk
358,2,unskilled,2,yes,yes,Risk
359,1,skilled,1,none,yes,No Risk
360,2,skilled,2,yes,yes,No Risk
361,2,unskilled,2,yes,yes,No Risk
362,3,skilled,1,yes,no,Risk
363,1,skilled,1,none,yes,Risk
364,1,skilled,1,none,yes,No Risk
365,1,skilled,1,yes,yes,Risk
366,2,skilled,1,none,yes,No Risk
367,2,skilled,1,none,yes,Risk
368,3,unskilled,1,yes,yes,Risk
369,1,unskilled,1,none,yes,No Risk
370,1,management_self-employed,1,none,yes,No Risk
371,2,unskilled,2,yes,yes,No Risk
372,2,skilled,2,yes,yes,No Risk
373,2,skilled,2,yes,yes,Risk
374,2,skilled,1,yes,yes,Risk
375,2,unskilled,1,yes,yes,No Risk
376,2,skilled,2,yes,yes,Risk
377,1,skilled,1,none,yes,No Risk
378,1,skilled,1,none,yes,No Risk
379,1,skilled,1,none,yes,No Risk
380,1,skilled,1,none,no,Risk
381,1,skilled,1,none,yes,No Risk
382,2,skilled,2,yes,yes,No Risk
383,1,skilled,2,yes,yes,No Risk
384,1,skilled,2,yes,yes,No Risk
385,1,skilled,1,none,yes,No Risk
386,1,skilled,1,none,yes,No Risk
387,2,skilled,1,yes,yes,Risk
388,2,unskilled,1,none,yes,No Risk
389,2,skilled,1,yes,yes,Risk
390,2,skilled,1,yes,yes,No Risk
391,1,unemployed,1,none,yes,No Risk
392,1,skilled,1,yes,yes,No Risk
393,1,management_self-employed,1,none,yes,No Risk
394,1,skilled,1,yes,yes,Risk
395,1,management_self-employed,2,yes,yes,Risk
396,1,unemployed,1,none,yes,No Risk
397,1,skilled,1,none,yes,No Risk
398,2,skilled,1,yes,yes,Risk
399,2,skilled,1,yes,yes,Risk
400,1,skilled,1,none,no,No Risk
401,1,management_self-employed,2,none,yes,No Risk
402,2,management_self-employed,1,yes,yes,Risk
403,2,skilled,1,none,yes,No Risk
404,2,skilled,1,yes,yes,Risk
405,1,skilled,1,none,yes,No Risk
406,1,skilled,1,none,yes,No Risk
407,2,skilled,2,yes,yes,Risk
408,2,unskilled,1,none,yes,No Risk
409,1,unskilled,1,yes,yes,Risk
410,2,management_self-employed,1,none,yes,No Risk
411,1,unemployed,1,yes,yes,No Risk
412,2,unskilled,2,yes,yes,No Risk
413,1,skilled,1,none,yes,Risk
414,2,skilled,1,none,no,No Risk
415,1,management_self-employed,1,none,yes,No Risk
416,3,skilled,2,yes,yes,Risk
417,1,management_self-employed,1,none,yes,No Risk
418,2,unemployed,1,none,yes,No Risk
419,1,skilled,1,none,yes,No Risk
420,1,skilled,2,yes,yes,Risk
421,1,unskilled,1,none,yes,No Risk
422,1,unskilled,1,yes,yes,No Risk
423,2,skilled,1,yes,yes,No Risk
424,1,unskilled,1,none,yes,No Risk
425,1,unemployed,1,none,yes,No Risk
426,1,unskilled,1,none,yes,No Risk
427,1,skilled,1,none,yes,No Risk
428,2,skilled,1,yes,yes,Risk
429,2,skilled,1,none,yes,No Risk
430,1,skilled,1,none,yes,No Risk
431,1,skilled,1,none,yes,No Risk
432,3,skilled,2,yes,yes,Risk
433,1,skilled,1,none,yes,No Risk
434,2,skilled,1,none,no,Risk
435,2,management_self-employed,1,none,yes,Risk
436,1,skilled,1,yes,yes,No Risk
437,1,skilled,1,none,yes,No Risk
438,2,skilled,2,yes,yes,Risk
439,1,management_self-employed,1,none,yes,No Risk
440,1,unskilled,1,none,yes,No Risk
441,1,skilled,1,none,yes,No Risk
442,1,skilled,1,none,yes,No Risk
443,1,management_self-employed,1,none,yes,No Risk
444,2,skilled,1,none,yes,No Risk
445,1,skilled,1,yes,yes,No Risk
446,1,skilled,2,none,yes,Risk
447,1,skilled,1,none,yes,No Risk
448,2,unskilled,1,none,yes,No Risk
449,2,skilled,1,none,yes,Risk
450,2,skilled,1,none,yes,No Risk
451,2,management_self-employed,2,none,yes,No Risk
452,2,unskilled,1,none,yes,No Risk
453,2,skilled,1,none,yes,No Risk
454,2,skilled,1,yes,yes,No Risk
455,1,skilled,1,none,yes,No Risk
456,2,skilled,1,yes,yes,Risk
457,1,skilled,1,none,yes,No Risk
458,2,management_self-employed,1,none,yes,No Risk
459,1,unemployed,1,none,yes,No Risk
460,2,skilled,2,yes,yes,Risk
461,1,skilled,1,none,yes,No Risk
462,3,skilled,1,yes,yes,Risk
463,2,skilled,1,yes,yes,Risk
464,1,skilled,1,none,yes,No Risk
465,2,skilled,1,yes,yes,Risk
466,2,skilled,1,yes,yes,Risk
467,1,unskilled,1,yes,yes,No Risk
468,2,skilled,1,yes,yes,Risk
469,1,unskilled,1,none,yes,No Risk
470,2,skilled,1,yes,yes,Risk
471,1,skilled,1,none,yes,No Risk
472,1,unskilled,1,none,yes,No Risk
473,1,skilled,1,none,yes,No Risk
474,1,skilled,2,none,yes,Risk
475,1,skilled,1,none,yes,No Risk
476,1,skilled,1,yes,yes,No Risk
477,2,skilled,2,yes,yes,Risk
478,2,skilled,1,yes,yes,Risk
479,1,skilled,1,none,yes,No Risk
480,1,unskilled,2,yes,yes,No Risk
481,1,skilled,1,yes,yes,No Risk
482,2,skilled,1,yes,yes,Risk
483,1,unemployed,1,none,yes,No Risk
484,1,unskilled,1,none,yes,No Risk
485,2,skilled,1,none,yes,No Risk
486,2,management_self-employed,1,yes,yes,Risk
487,1,unemployed,1,yes,yes,Risk
488,2,skilled,2,yes,yes,No Risk
489,1,skilled,1,none,yes,No Risk
490,3,management_self-employed,2,yes,yes,Risk
491,2,management_self-employed,2,yes,yes,Risk
492,2,management_self-employed,1,yes,yes,Risk
493,1,skilled,2,yes,yes,No Risk
494,2,skilled,1,none,yes,Risk
495,1,skilled,1,yes,yes,Risk
496,2,skilled,1,yes,yes,No Risk
497,1,unskilled,1,none,yes,No Risk
498,1,unskilled,1,yes,yes,No Risk
499,1,skilled,1,none,yes,No Risk
500,1,unskilled,1,none,yes,No Risk
501,1,skilled,2,none,yes,No Risk
502,2,management_self-employed,1,none,yes,Risk
503,1,skilled,1,none,yes,No Risk
504,2,skilled,1,none,yes,No Risk
505,2,skilled,1,none,yes,Risk
506,1,skilled,1,none,yes,No Risk
507,2,skilled,1,yes,yes,No Risk
508,2,unskilled,2,none,yes,No Risk
509,1,skilled,1,none,yes,No Risk
510,2,skilled,1,none,yes,Risk
511,1,skilled,1,none,yes,No Risk
512,1,skilled,1,yes,yes,Risk
513,3,unskilled,2,yes,yes,No Risk
514,2,skilled,1,yes,yes,No Risk
515,1,unskilled,1,none,yes,No Risk
516,2,unemployed,1,yes,yes,No Risk
517,1,skilled,1,yes,yes,No Risk
518,1,skilled,1,yes,yes,No Risk
519,1,skilled,1,none,yes,No Risk
520,1,skilled,1,none,yes,No Risk
521,1,skilled,1,none,yes,Risk
522,2,unskilled,1,yes,yes,Risk
523,2,skilled,1,yes,yes,No Risk
524,2,management_self-employed,2,yes,yes,Risk
525,1,skilled,1,none,yes,No Risk
526,2,unskilled,1,none,yes,No Risk
527,1,management_self-employed,1,none,yes,No Risk
528,2,management_self-employed,1,none,yes,No Risk
529,1,unskilled,1,none,yes,No Risk
530,3,unskilled,2,yes,yes,Risk
531,2,unskilled,1,yes,yes,No Risk
532,1,unskilled,1,none,yes,No Risk
533,1,skilled,1,none,yes,No Risk
534,1,skilled,1,none,yes,No Risk
535,2,management_self-employed,2,yes,yes,Risk
536,1,unskilled,2,none,yes,No Risk
537,1,skilled,1,none,yes,No Risk
538,1,skilled,1,yes,yes,No Risk
539,1,unskilled,1,none,yes,Risk
540,1,skilled,1,none,yes,No Risk
541,2,skilled,1,yes,yes,Risk
542,2,skilled,1,none,yes,No Risk
543,2,skilled,1,none,yes,No Risk
544,2,skilled,1,none,yes,No Risk
545,1,skilled,1,none,yes,No Risk
546,2,management_self-employed,1,none,yes,Risk
547,1,skilled,1,none,yes,No Risk
548,1,skilled,1,none,yes,No Risk
549,2,skilled,1,yes,yes,No Risk
550,2,unskilled,1,yes,yes,Risk
551,1,skilled,1,yes,yes,No Risk
552,1,skilled,1,none,yes,Risk
553,2,skilled,1,yes,yes,No Risk
554,1,skilled,1,none,yes,No Risk
555,1,skilled,2,yes,yes,No Risk
556,1,skilled,2,yes,yes,Risk
557,1,unemployed,1,none,yes,No Risk
558,2,skilled,1,none,yes,Risk
559,2,management_self-employed,1,none,yes,No Risk
560,1,skilled,1,none,yes,No Risk
561,2,skilled,1,none,yes,Risk
618,2,skilled,1,yes,yes,No Risk
562,1,management_self-employed,1,none,yes,Risk
563,1,management_self-employed,1,none,yes,No Risk
564,1,unskilled,1,yes,yes,Risk
565,1,unskilled,1,none,yes,No Risk
566,1,skilled,1,none,yes,No Risk
567,2,skilled,1,yes,yes,No Risk
568,2,management_self-employed,1,yes,yes,No Risk
569,2,skilled,1,yes,yes,Risk
570,1,skilled,1,none,yes,No Risk
571,2,skilled,2,none,yes,Risk
572,2,unskilled,2,yes,yes,No Risk
573,1,skilled,1,none,yes,No Risk
574,1,skilled,1,none,yes,No Risk
575,2,skilled,2,yes,yes,Risk
576,1,management_self-employed,1,none,yes,No Risk
577,1,skilled,1,none,yes,No Risk
578,2,unskilled,2,yes,yes,Risk
579,2,skilled,1,yes,yes,No Risk
580,1,skilled,1,none,yes,No Risk
581,1,skilled,1,none,yes,No Risk
582,2,skilled,2,yes,yes,No Risk
583,2,skilled,1,none,yes,No Risk
584,1,skilled,1,none,yes,No Risk
585,1,skilled,1,none,yes,No Risk
586,2,skilled,1,yes,yes,Risk
587,1,management_self-employed,1,yes,yes,Risk
588,2,management_self-employed,1,none,yes,Risk
589,1,skilled,1,yes,yes,No Risk
590,2,management_self-employed,2,yes,yes,Risk
591,2,skilled,1,yes,yes,Risk
592,2,skilled,1,yes,yes,Risk
593,1,skilled,1,none,yes,No Risk
594,2,management_self-employed,2,yes,yes,No Risk
595,2,skilled,2,yes,yes,Risk
596,2,skilled,1,yes,yes,Risk
597,1,skilled,1,none,yes,No Risk
598,3,skilled,1,none,yes,Risk
599,1,skilled,1,none,yes,No Risk
600,3,management_self-employed,2,yes,yes,Risk
601,1,skilled,1,none,yes,No Risk
602,1,skilled,1,none,yes,No Risk
603,1,skilled,1,none,yes,No Risk
604,2,skilled,1,yes,no,Risk
605,2,skilled,1,yes,yes,Risk
606,1,skilled,1,yes,yes,Risk
607,1,skilled,1,none,yes,Risk
608,1,skilled,1,none,yes,Risk
609,2,skilled,1,yes,yes,No Risk
610,1,unskilled,2,yes,yes,No Risk
611,2,unskilled,1,yes,yes,Risk
612,2,skilled,2,yes,yes,No Risk
613,2,skilled,1,yes,yes,Risk
614,1,unskilled,1,none,yes,No Risk
615,1,skilled,1,none,yes,No Risk
616,2,skilled,2,yes,yes,Risk
617,1,skilled,1,none,yes,No Risk
619,1,unemployed,1,none,yes,No Risk
620,3,skilled,2,yes,yes,Risk
621,1,management_self-employed,1,none,yes,No Risk
622,2,skilled,1,yes,yes,Risk
623,1,skilled,1,none,yes,No Risk
624,1,skilled,1,none,yes,No Risk
625,1,skilled,1,none,yes,No Risk
626,2,unemployed,1,none,yes,No Risk
627,1,skilled,1,none,yes,No Risk
628,1,skilled,1,yes,yes,No Risk
629,1,skilled,1,none,yes,No Risk
630,2,skilled,2,yes,yes,Risk
631,2,skilled,1,none,yes,No Risk
632,1,unskilled,1,none,yes,No Risk
633,1,skilled,1,yes,yes,Risk
634,1,unskilled,1,none,yes,No Risk
635,2,management_self-employed,1,none,yes,No Risk
636,1,skilled,1,none,yes,No Risk
637,1,skilled,1,yes,yes,No Risk
638,2,skilled,1,yes,yes,Risk
639,1,unskilled,1,none,yes,Risk
640,2,skilled,1,yes,yes,Risk
641,1,skilled,1,yes,yes,Risk
642,1,skilled,1,none,yes,No Risk
643,1,skilled,1,none,yes,No Risk
644,1,management_self-employed,1,yes,yes,Risk
645,1,skilled,1,none,yes,No Risk
646,2,skilled,1,yes,yes,Risk
647,1,management_self-employed,1,none,yes,No Risk
648,2,skilled,1,yes,yes,No Risk
649,1,skilled,2,none,yes,No Risk
650,1,unskilled,2,yes,yes,No Risk
651,2,management_self-employed,1,none,yes,No Risk
652,1,skilled,1,yes,yes,No Risk
653,1,skilled,1,none,yes,No Risk
654,1,skilled,1,yes,yes,No Risk
655,2,unskilled,1,none,yes,No Risk
656,1,skilled,1,none,yes,No Risk
657,2,management_self-employed,1,none,yes,No Risk
658,1,skilled,1,none,yes,Risk
659,1,skilled,1,none,yes,No Risk
660,2,unemployed,1,none,yes,No Risk
661,2,unskilled,2,none,yes,No Risk
662,1,skilled,1,none,yes,No Risk
663,1,management_self-employed,1,none,yes,Risk
664,2,management_self-employed,1,none,yes,No Risk
665,2,skilled,1,yes,yes,No Risk
666,2,skilled,1,none,yes,No Risk
667,1,skilled,1,yes,yes,No Risk
668,2,unemployed,1,yes,yes,No Risk
669,2,skilled,1,yes,yes,No Risk
670,1,skilled,1,none,yes,No Risk
671,2,unemployed,1,yes,yes,No Risk
672,1,skilled,1,none,yes,No Risk
673,1,skilled,1,yes,yes,No Risk
674,1,skilled,1,none,yes,No Risk
